SampleID Num_reads Num_R1 Num_R2 Num_Paired Num_MateMapped Num_Singletons Num_MateMappedDiffChr Coverage_depth
2030_1_F	2701445	1350139	1351306	1828154	2504156	45884	656550	2.60596
2030_3_H	2631469	1315422	1316047	1804196	2437342	41043	614156	2.68815
2030_4_J	2812242	1404309	1407933	1833668	2581206	57986	724750	2.60502
2030_56_O	2798229	1397629	1400600	1821686	2574690	56740	730750	2.56159
2030_57_O	3716068	1856676	1859392	2442724	3412760	69606	942110	2.94506
2030_58_K	2732062	1365078	1366984	1841878	2518430	52352	654708	2.68047
2030_59_N	2790973	1394836	1396137	1868368	2583002	50015	693668	2.69884
2030_60_L	2225144	1111894	1113250	1522830	2060438	40790	520592	2.55239
